Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
CHRW,overboughtThreshold=70.0;oversoldThreshold=25.0;period=11.0,0.9867,0.1680,0.3692,65,1.61
CHTR,overboughtThreshold=70.0;oversoldThreshold=15.0;period=13.0,0.5856,0.1943,0.3333,30,0.76
CINF,overboughtThreshold=85.0;oversoldThreshold=25.0;period=21.0,0.7887,0.2107,0.3333,9,1.45
CI,overboughtThreshold=80.0;oversoldThreshold=35.0;period=9.0,0.6781,0.2634,0.3562,73,1.41
CLX,overboughtThreshold=65.0;oversoldThreshold=25.0;period=23.0,0.6777,0.2344,0.3636,22,0.81
CL,overboughtThreshold=80.0;oversoldThreshold=25.0;period=13.0,0.6150,0.1776,0.3636,33,0.71
CMCSA,overboughtThreshold=85.0;oversoldThreshold=15.0;period=5.0,0.7427,0.2683,0.3465,127,1.22
CME,overboughtThreshold=80.0;oversoldThreshold=20.0;period=19.0,0.8911,0.0486,0.5000,14,0.54
CMG,overboughtThreshold=85.0;oversoldThreshold=35.0;period=5.0,0.7171,0.2761,0.3642,151,1.71
CMI,overboughtThreshold=75.0;oversoldThreshold=35.0;period=5.0,1.1805,0.2168,0.3583,187,2.53
CMS,overboughtThreshold=75.0;oversoldThreshold=30.0;period=19.0,1.1787,0.1192,0.4706,34,1.67
CNC,overboughtThreshold=80.0;oversoldThreshold=25.0;period=21.0,0.8502,0.2839,0.4211,19,1.59
CNP,overboughtThreshold=75.0;oversoldThreshold=35.0;period=25.0,1.0905,0.1318,0.4615,26,1.64
COF,overboughtThreshold=75.0;oversoldThreshold=15.0;period=5.0,1.2383,0.2011,0.3759,141,4.02
COO,overboughtThreshold=70.0;oversoldThreshold=20.0;period=15.0,0.8281,0.2199,0.3636,33,1.22
COP,overboughtThreshold=75.0;oversoldThreshold=35.0;period=19.0,1.0205,0.3130,0.4000,35,3.56
COR,overboughtThreshold=65.0;oversoldThreshold=35.0;period=21.0,1.4566,0.0970,0.4737,38,1.76
COST,overboughtThreshold=75.0;oversoldThreshold=25.0;period=21.0,1.2154,0.0839,0.5000,18,1.09
CPAY,overboughtThreshold=70.0;oversoldThreshold=30.0;period=13.0,0.9943,0.2646,0.3860,57,2.26
CPB,overboughtThreshold=65.0;oversoldThreshold=35.0;period=7.0,0.6563,0.1678,0.3469,147,0.77
CPRT,overboughtThreshold=70.0;oversoldThreshold=30.0;period=5.0,0.9277,0.2476,0.3533,167,1.83
CPT,overboughtThreshold=75.0;oversoldThreshold=35.0;period=5.0,0.6209,0.4114,0.3520,179,0.98
CRL,overboughtThreshold=65.0;oversoldThreshold=15.0;period=7.0,1.2047,0.1451,0.4082,98,2.46
CRM,overboughtThreshold=70.0;oversoldThreshold=20.0;period=13.0,0.6577,0.1870,0.3939,33,0.90
CRWD,overboughtThreshold=80.0;oversoldThreshold=20.0;period=21.0,1.0149,0.1896,0.5000,8,1.88
CSCO,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.5486,0.1755,0.3403,191,0.71
CSGP,overboughtThreshold=80.0;oversoldThreshold=15.0;period=5.0,0.7882,0.2254,0.3431,137,1.66
CSX,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,0.7482,0.1876,0.3575,207,1.11
CTAS,overboughtThreshold=85.0;oversoldThreshold=15.0;period=5.0,1.4622,0.1621,0.4167,120,3.35
CTRA,overboughtThreshold=65.0;oversoldThreshold=30.0;period=19.0,1.2479,0.1922,0.4722,36,2.90
CTSH,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.9013,0.2874,0.3455,191,1.73
CTVA,overboughtThreshold=70.0;oversoldThreshold=30.0;period=15.0,1.1913,0.1425,0.3750,48,2.36
CVS,overboughtThreshold=75.0;oversoldThreshold=30.0;period=25.0,0.5830,0.3418,0.3571,14,0.93
CVX,overboughtThreshold=70.0;oversoldThreshold=30.0;period=19.0,0.9085,0.1837,0.4063,32,1.44
CZR,overboughtThreshold=75.0;oversoldThreshold=25.0;period=5.0,1.0125,0.4053,0.3653,167,8.21
C,overboughtThreshold=75.0;oversoldThreshold=20.0;period=17.0,0.6033,0.2491,0.4286,28,0.91
DAL,overboughtThreshold=65.0;oversoldThreshold=25.0;period=17.0,0.6560,0.2924,0.3704,27,1.01
DAY,overboughtThreshold=70.0;oversoldThreshold=35.0;period=7.0,0.9823,0.5014,0.3444,151,3.82
