Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
GOOG,fastPeriod=20.0;slowPeriod=30.0,0.3868,0.3626,0.2857,56,0.59
GPC,fastPeriod=17.0;slowPeriod=24.0,0.3408,0.3031,0.2174,69,0.47
GPN,fastPeriod=9.0;slowPeriod=50.0,0.1675,0.2374,0.1875,32,0.23
GRMN,fastPeriod=15.0;slowPeriod=28.0,0.5977,0.1685,0.2353,51,0.85
GS,fastPeriod=20.0;slowPeriod=27.0,0.7471,0.2419,0.2632,76,1.26
GWW,fastPeriod=8.0;slowPeriod=29.0,0.9958,0.1561,0.2857,56,1.93
HAL,fastPeriod=7.0;slowPeriod=27.0,0.7852,0.2858,0.2692,52,2.29
HAS,fastPeriod=12.0;slowPeriod=39.0,0.2926,0.1654,0.2093,43,0.41
HBAN,fastPeriod=18.0;slowPeriod=38.0,0.4240,0.2349,0.2250,40,0.71
HCA,fastPeriod=19.0;slowPeriod=20.0,1.0057,0.2093,0.3378,148,2.34
HD,fastPeriod=20.0;slowPeriod=37.0,0.5561,0.1768,0.2619,42,0.73
HES,fastPeriod=6.0;slowPeriod=20.0,0.5481,0.2555,0.2619,84,1.17
HIG,fastPeriod=16.0;slowPeriod=29.0,0.7091,0.2075,0.2063,63,1.24
HII,fastPeriod=13.0;slowPeriod=24.0,0.0987,0.2805,0.2373,59,0.14
HLT,fastPeriod=18.0;slowPeriod=40.0,0.4766,0.2933,0.2889,45,0.78
